,AgencyCode,AgencyName,CategoryOfFundingActivity.Element:Text,Description
66129,HUD,Department of Housing and Urban Development,HO,"HUD is providing Capital Advance funding and project rental subsidies for the development and ongoing operation of supportive rental housing for very low-income persons, aged 62 years or older. This funding, leveraged with other financing sources, will expand affordable housing opportunities that are physically designed and that have a robust set of services that will allow seniors to live independently and age in community. "
66261,HUD,Department of Housing and Urban Development,HO,"The Tribal HUD-VA Supportive Housing (Tribal HUD-VASH) demonstration program was established under the Consolidated and Further Continuing Appropriations Act, 2015 (Public Law 113-235, approved December 16, 2014) (2015 Appropriations Act), and provides grants to Indian Tribes and Tribally Designated Housing Entities (TDHEs) eligible to receive block grants under the Native American Housing Assistance and Self-Determination Act of 1996 (NAHASDA). Grantees use funding towards rental assistance and supportive services for Native American Veterans who are homeless or at risk of homelessness, living on or near a reservation or other Indian areas. Under Tribal HUD-VASH, Indian Tribes and TDHEs must partner with the Department of Veterans Affairs (VA) to provide case management and supportive services, including healthcare assistance, to eligible Native American Veterans. On March 2, 2016, HUD published a Federal Register Notice (81 FR 10880) entitled &#8220;Tribal HUD&#8211;VA Supportive Housing Program Awards, Fiscal Year 2015&#8221; notifying the public regarding HUD&#8217;s funding decisions under the Tribal HUD-VASH program for Fiscal Year 2015. In total, 26 Indian Tribes and TDHEs were selected to participate in the demonstration program. The Consolidated Appropriations Act, 2017 (Pub. L. 115-31, approved May 5, 2017) (2017 Appropriations Act) provided HUD with $7 million for the Tribal HUD-VASH demonstration program. Congress directed HUD to use this funding to provide renewal grants to the original Indian Tribes and TDHEs that received funding under the demonstration program. After awarding renewal funding, Congress authorized HUD to use any remaining amounts appropriated to fund new grants. In September 2018, HUD provided the original 26 Indian Tribes and TDHEs participating in the program with $3,765,568 of the $7 million in renewal funding. In accordance with the 2017 Appropriations Act, this NOFA establishes the criteria HUD will use to award the remaining $3,234,432 for new grants. The 2017 Appropriations Act requires HUD to make awards based on need and administrative capacity. On June 3, 2019, HUD issued a &#8220;Dear Tribal Leader&#8221; letter (https://www.hud.gov/sites/dfiles/PIH/documents/Tribal%20Vash%20Expansion%20June%203.pdf) to all tribal leaders and TDHEs. The letter sought tribal feedback on how HUD should assess need and administrative capacity. HUD proposed awarding new grants to some of the original Indian Tribes/TDHEs already participating in the program that demonstrated the capacity to administer the program effectively and that have unmet need for housing and supportive services for eligible Veterans. HUD also proposed awarding new grants through a competition to expand the Tribal HUD-VASH program to new Indian Tribes and TDHEs. HUD recognizes the overall, severe affordable housing shortage in Indian Country. In January 2017, HUD released a study entitled &#8220;Housing Needs of American Indians and Alaska Natives in Tribal Areas: A Report From the Assessment of American Indian, Alaska Native, and Native Hawaiian Housing Needs.&#8221; Among the findings, the study found that tribal households are substantially worse than other U.S. households, with overcrowding in tribal areas being especially severe. The study noted that in the 2013-2015 period alone, 68,000 new units would have been necessary to help eliminate overcrowding and replace physically deteriorating units. Additional information and subsequent reports are available at https://www.huduser.gov/portal/pdredge/pdr-edge-research-022117.html. Given these considerations and based on feedback received from the &#8220;Dear Tribal Leader&#8221; letter, HUD is using this opportunity to award new Tribal HUD-VASH grants to address both the concerns identified in the study and to provide housing assistance and supportive services to Native American Veterans who are homeless or at risk of homelessness. Since the 2017 Appropriations Act also requires HUD to coordinate with the VA when awarding new grants under the program, the Departments met throughout the planning process and jointly established the rating factors and requirements detailed in this NOFA. These were driven based on HUD and VA&apos;s experiences to-date, including assessing the demonstration program&apos;s achievements, areas for improvement, and feedback from both HUD-Office of Native American Programs (ONAP) and VA case managers. As such, HUD and VA remain committed to providing critical case management services and technical assistance, both for existing grantees and the additional Indian Tribes and TDHEs based on this competition. This NOFA announces the availability of the remaining $3,234,432 in FY 2017 funding for new Tribal HUD-VASH grants to both Indian Tribes and TDHEs currently participating in the demonstration program, and to eligible Indian Tribes and TDHEs that have not previously received a Tribal HUD-VASH grant. HUD will give priority to applicants that demonstrate the capacity to leverage other funding sources to increase the number of new housing units available for eligible Veterans under the program. HUD invites applicants to apply for this funding opportunity in accordance with the criteria established in this NOFA. "
66288,HUD,Department of Housing and Urban Development,HO,"You must download both the Application Instruction and the Application Package from Grants.gov. You must verify that the CFDA Number and CFDA Description on the first page of the Application Package, and the Funding Opportunity Title and the Funding Opportunity Number match the Program and NOFA to which you are applying. The Application Package contains the portable document forms (PDFs) available on Grants.gov, such as the SF-424 Family. The Instruction Download contains official copies of the NOFA and forms necessary for a complete application. The Instruction Download may include Microsoft Word, Microsoft Excel and additional documents. An applicant demonstrating good cause may request a waiver from the requirement for electronic submission. For example, a lack of available Internet access in the geographic area in which your business offices are located. Lack of SAM registration or valid DUNS is not deemed good cause. If you cannot submit your application electronically, you must ask in writing for a waiver of the electronic grant submission requirements. HUD will not grant a waiver if HUD does not receive your written request at least 15 days before the application deadline and if you do not demonstrate good cause. An email request for a waiver sent 15 days before the application is due will also be considered. If HUD waives the requirement, HUD must receive your paper application before the deadline of this NOFA. To request a waiver you must contact:"
66500,HUD,Department of Housing and Urban Development,HO,"The U.S. Department of Housing and Urban Development (HUD) is issuing this Notice to non-competitively renew for one 12-month period existing CoC renewal projects (including Shelter Plus Care and Youth Homeless Demonstration Program (YHDP) projects), CoC planning awards, and Unified Funding Agency (UFA) Costs awards expiring during Calendar Year (CY) 2021 (between January 1, 2021 and December 31, 2021). Renewal amounts will be adjusted to account for changes in Fair Market Rent (FMR) as applicable. This process includes any current CoC Program-funded project and award that has an expiration date in CY 2021.The CoC Program is designed to promote a community-wide commitment to the goal of ending homelessness; to provide funding for efforts by nonprofit providers, states, and local governments to quickly rehouse homeless individuals, families, persons fleeing domestic violence, sexual assault, dating violence, and stalking; and youth while minimizing the trauma and dislocation caused by homelessness; to promote access to and effective utilization of mainstream programs by homeless individuals and families; and to optimize self-sufficiency among those experiencing homelessness."
67119,HUD,Department of Housing and Urban Development,HO,Older Adult Home Modification
67158,VA-HPGPDP,Homeless Providers Grant and Per Diem Program,HO,"SUMMARY:VA announces the availability of approximately $5 million per year for 3 years in new special need grants to eligible entities for per diem payments to facilitate housing stabilization for Veterans who are homeless or at risk of becoming homeless and who are in one of the special need populations (i.e., chronically mentally ill, frail elderly, individuals who care for minor dependents, terminally ill or women). This funding will provide assistance to cover operational costs including costs that would not otherwise be incurred, but for the fact that the recipient is providing supportive housing beds in private rooms with private bathrooms for a homeless Veteran population with special needs. VA expects to award per diem for approximately 135 beds across approximately 10-15 grants with this Notice of Funding Opportunity (NOFO).DATES:Applications for grants must be received by the GPD National Program Office no later than 4:00 p.m. Eastern Time on May 5, 2021.In the interest of fairness to all, this deadline is firm as to date and hour. VA will treat any application that is received after the deadline as ineligible. Applicants should take this practice into account and submit their materials early to avoid the risk of unanticipated delays, computer service outages or other submission-related problems that might result in ineligibility.APPLICATION REQUIREMENTS:The required documentation for applications is outlined under the Application Documentation Required sections of this NOFO. For detailed GPD program information and requirements, see part 61 of title 38, Code of Federal Regulations (CFR) or 38 CFR part 61.APPLICATION SUBMISSION:Applications must be submitted by following instructions found at the following link: www.va.gov/homeless/gpd.asp. Applications may not be submitted any other way. Applications must be received by the GPD National Program Office no later than4:00 p.m. Eastern Time on the application deadline date. Applications must be submitted as a complete package. Materials arriving separately will not be included in the application package for consideration and may result in the application being rejected or not funded.TECHNICAL ASSISTANCE:Information regarding how to obtain technical assistance with the preparation of a grantapplication is available on the GPD program website at the following link:www.va.gov/homeless/gpd.asp.A. PurposeVA announces the availability of approximately $5 million per year for 3 years in special need grants to eligible entities for per diem payments to facilitate housing stabilization for Veterans who are homeless or at risk of becoming homeless and who are in one of the special need populations (i.e., chronically mentally ill, frail elderly, individuals who care for minor dependents, terminally ill, or women).This funding will provide assistance to cover operational costs, including costs that would not otherwise be incurred, but for the fact that the recipient is providing supportive housing beds in private rooms with private bathrooms for a homeless Veteran population with special needs. VA expects to award funding to pay per diem for approximately 135 beds through this NOFO. The funding will allow GPD grantees to continue to transform programs and to meet the challenges local communities face when providing services to certain populations of Veterans experiencing homelessness.Each application must include a minimum of five special need beds and up to a maximum of 10 special need beds per VA medical facility catchment area, per each applicant&#8217;s Employer Identification Number (EIN). Each application must propose to serve one special need population. The various special needs populations are defined in 38 CFR 61.1 and are summarized in this NOFO.Each applicant may request the lesser of 100% of the daily cost of care for furnishing services to homeless Veterans with special needs; or two times the current VA State Home Program per diem rate for domiciliary care as set by the Secretary under 38 United States Code (U.S.C.) 2012 and 38 U.S.C. 1741(a)(1), which at the time of this NOFO publication would be two times $49.91 per day as shown on the GPD program website at the following link: www.va.gov/homeless/gpd.asp. The per diem payment calculation may be found at 38 CFR 61.33. The maximum amount of per diem requested must not exceed the cost of care or $1,100,000 total costs for the entire 3-year grant period, whichever is less, based on variables such as the average number of beds to be provided as stated in the grant application and the current per diem rate maximum. Applicants may request no more than the cost of care or $110,000 total costs per bed over the entire 3-year grant period, whichever is less, based on variables such as the average number of beds to be provided as stated in the grant application and the current per diem rate maximum."
67343,VA-HPGPDP,Homeless Providers Grant and Per Diem Program,HO,"During the National Emergency due to COVID&#8211;19, VA announces the availability of approximately $50 million in capital grants to increase safety and reduce the risk to Veterans in GPD transitional housing who otherwise would be experiencing homelessness. Funding for grants awarded under this Notice of Funding Opportunity (NOFO) is made available through the Coronavirus Aid, Relief, and Economic Security Act, 2020 (the CARES Act; P.L. 116-136). Mounting risks posed to vulnerable populations from public health concerns such as the coronavirus and other infectious diseases show a need to increase safety in transitional housing provided by GPD grantees. This funding will allow current GPD grantees to improve the transitional housing they offer to Veterans resulting in less congregate housing and more individual unit style housing. This funding will improve personal safety for Veterans, reduce risks associated with close quarters living and increase the availability of individual unit style transitional housing. This funding will allow GPD grantees to continue to transform programs and to meet the challenges local communities face when providing safe spaces for Veterans experiencing homelessness.DATES:Applications for grants must be received by the GPD National Program Office no later than 4:00 p.m. Eastern Time on May 25, 2021.In the interest of fairness to all, this deadline is firm as to date and hour. VA will treat any application received after the deadline as ineligible. Applicants should take this practice into account and submit their materials early to avoid the risk of unanticipated delays, computer service outages or other submission-related problems that might result in ineligibility.APPLICATION SUBMISSION:Applications must be submitted by following instructions at www.va.gov/homeless/gpd.asp. Applications may not be submitted any other way. Applications must be received by the GPD National Program Office no later than 4:00 p.m. Eastern Time on the application deadline date. Applications must be submitted as a complete package. Materials arriving separately will not be included in the application package for consideration and may result in the application being rejected or not funded.TECHNICAL ASSISTANCE:Information regarding how to obtain technical assistance with the preparation of a grant application is available on the GPD program website at www.va.gov/homeless/gpd.asp.A. PurposeIn response to the President&#8217;s March 2020 National Emergency declaration related to COVID&#8211;19, VA announces the availability of approximately $50 million in capital grants to increase safety and reduce risk for Veterans in GPD transitional housing who otherwise would be experiencing homelessness. Mounting risks posed to vulnerable populations from public health concerns such as the coronavirus and other infectious diseases show a need to increase safety in transitional housing provided by GPD grantees.This funding will allow current GPD grantees to improve the transitional housing they offer to Veterans resulting in less congregate housing and more individual unit style housing. This funding will improve personal safety for Veterans, reduce risks associated with close quarters living and increase the availability of individual unit style transitional housing. This funding will allow GPD grantees to continue to transform programs and to meet the challenges local communities face when providing safe spaces for Veterans experiencing homelessness.Funding is offered to current GPD grantees only. For purposes of this NOFO, a current GPD grantee is an organization that successfully applied to NOFO VA-GPD-PDO-FY2020 and received a new GPD Per Diem Only (PDO) grant with an award date of October 1, 2020, and with an end date of September 30, 2021, and that is eligible for an option year award starting October 1, 2021. For purposes of this NOFO, a current GPD grantee includes PDO transitional housing projects. For purposes of this NOFO, a current GPD grantee does not include GPD grantees with only a PDO Service Center grant, Transition in Place (TIP) grant, Special Need grant or Case Management grant unless they also have an active PDO transitional housing grant.The purpose of this NOFO is to provide capital grants to support acquisition, construction or rehabilitation of real property used for GPD transitional housing facilities. Funds provided through this NOFO are not to support per diem costs, services costs or the cost of operating transitional housing beds for Veterans.Eligibility is summarized here and discussed in detail in the Eligibility section of this NOFO:Applicants, as defined by Employer Identification Number (EIN), are limited to one application per currently active GPD PDO grant per VA medical facility catchment area.&#8226; Applications must be from the same organization with the same Employer Identification Number (EIN) as is associated with the currently active GPD PDO Federal Award Identifying Number (FAIN).&#8226; Each application must be for the improvement of some or all the GPD beds currently associated with the active GPD PDO grant. Temporary sites (e.g., sites not under the applicant&#8217;s direct ownership or control such as motels being used as a temporary measure during the COVID-19 National Emergency) are not eligible for improvement under this NOFO. See Payment section of the NOFO for site control requirements.&#8226; Each application may request no more than $50,000 total costs per GPD bed that, upon completion of the project, will be changed from a bed in a shared space to a bed in a private room (with a private bath).&#8226; Each application may request no more than $2.5 million total costs per application.&#8226; The number of beds proposed to be changed from a bed in a shared space to a bed in a private room (with a private bath) with funds from this capital grant may be less than, but must not exceed, the total number of beds authorized under the GPD PDO grant. NOTE: For grantees with GPD beds in spaces that flex over time, the maximum number of beds proposed to be changed under this capital grant must not exceed the average number of GPD beds documented over the 3 months prior to the NOFO publication month.&#8226; Upon completion of the project, the GPD beds changed from a bed in a shared space to a bed in a private room (with a private bath) must continue to be in the same VA medical facility catchment area as the active GPD PDO grant. A change in VA medical facility catchment areas is not allowed. Applicants proposing sites that are within the VA medical facility catchment area, but are a significant distance from their current location, must describe in the Abstract section of the application how they will address relevant impacts (e.g., proximity to VA, employment, transportation). Applicants are reminded that they must continue to provide the same level (or better) of staffing and services as described in their FY 2020 PDO application, or as modified through an approved change of scope.Applicants are encouraged to consider the responsibilities they assume if they are funded and to carefully request only the changes to beds and dollar amounts that correspond to the responsibility, they are willing to assume. Specifically, successful applicants are subject to the recovery provisions of 38 C.F.R. 61.67. VA will seek recovery for awarded capital grant funds on a prorated basis if at any time during the minimum operational period a grantee no longer has an active GPD PDO grant and/or if a grantee does not maintain bed numbers. Applicants should become familiar with the amount of time the PDO project must operate in order to avoid capital grant repayments. Operational time for these grants will begin on the activation date (i.e., not the award date, but the date GPD approves activation after project completion; see definition of &#8220;activation date&#8221; later in the NOFO). For details, refer to the table at the end of this NOFO and the regulations."
67645,HUD,Department of Housing and Urban Development,HO,"As authorized under the FY2020 Further Consolidated Appropriations Act, $20,000,000 is available for competitive grants to public housing agencies to evaluate and reduce housing-related hazards including carbon monoxide and mold in public housing."
68180,HUD,Department of Housing and Urban Development,HO,"Collectively, our local, domestic, and global communities have committed to ending the HIV/AIDS Epidemic through strategies and initiatives including Ending the HIV Epidemic: A Plan for America, the HIV National Strategic Plan, and Getting to Zero. With aggressive goals set to end the HIV/AIDS epidemic under each of these initiatives and strategies, all available resources must be used to achieve these goals. The Housing Opportunities for Persons With AIDS (HOPWA) program has the opportunity to take part in these efforts by using housing as an effective structural intervention to end HIV/AIDS epidemic. Grants funded under this NOFO will enhance local and federal efforts to end the U.S. HIV/AIDS epidemic.This NOFO announces the availability of funding under the authority for HOPWA Special Projects of National Significance at Section 854(c)(5) of the AIDS Housing Opportunity Act (42 U.S.C. 12903(c)(5)). This funding will provide communities an opportunity to create and implement new projects that align with initiatives aimed at ending the HIV/AIDS epidemic, and elevate housing as an effective structural intervention in ending the epidemic.HUD is seeking projects with exemplary and innovative qualities, including community-level coordination, data collection with emphasis on stable housing and positive health outcomes, culturally competent approaches to providing housing and services, and a systemic approach to advance equity in underserved communities that can serve as a national place-based model.Each project must also be designed for the Grantee to achieve the following six required project objectives: Implement and document housing and services models for low-income persons living with HIV and their families that are innovative and replicable in other similar localities or nationally; Increase alignment with new or existing local initiatives or strategies to end the HIV/AIDS epidemic by elevating housing as an effective structural intervention; Improve coordination among local housing and service providers and use of available community resources; Increase the amount of quality data collected and used for data-driven decision making with an emphasis on stable housing, positive health outcomes, and racial equity; Assess and document replicable practices that ensure equitable access and culturally competent approaches to providing housing and services for populations of persons living with HIV experiencing service gaps; and Prioritize sustainable, effective, and equitable approaches to providing housing and services to persons living with HIV and their families that can be continued past the funded project&#8217;s period of performance.Each successful applicant under this NOFO will received a one-time, non-renewable grant to fund housing assistance and supportive services for eligible beneficiaries, coordination and planning activities, and grants management and administration. Reporting requirements under this NOFO are more comprehensive than traditional HOPWA program reporting. Grantees will be required to collect client-level data to produce a programmatic HIV Housing Care Continuum Model at the end of each operating year. At the end of the grant period of performance, each grantee must also develop a Housing as an Intervention to Fight AIDS (HIFA) Model, consisting of promising practices for and lessons learned in using housing as a structural intervention to end the AIDS epidemic. Each HIFA Model will be shared with the public, and lessons learned through these grantee efforts will help inform national and community policy and actions"
68308,HUD,Department of Housing and Urban Development,HO,"This Housing Opportunities for Persons With AIDS (HOPWA) [CDFA # 14.241] Notice announces Renewal Grant Application and Replacement Grant Application requirements for eligible expiring HOPWA Permanent Supportive Housing (PSH) grants. Pursuant to the renewal authority provided by the Consolidated Appropriations Act, 2019 (Pub. L. 116-6), and the renewal or replacement authority provided by the Consolidated Appropriations Act, 2021 (Pub. L. 116-260), the Department will renew or replace all eligible expiring HOPWA Permanent Supportive Housing (PSH) grants that meet all program requirements and were initially funded under a HUD competition for Fiscal Year (FY) 2010 or earlier FY funds.The new option to replace an eligible expiring HOPWA PSH grant is made possible through new authority provided for the FY21 funding for HOPWA under the Consolidated Appropriations Act, 2021. For the purposes of this Notice, the application to renew an existing HOPWA PSH renewal grant will be referred to as the &#8220;Renewal Grant Application.&#8221; The application to replace the existing HOPWA PSH renewal activities with new grant activities will be referred to as the &#8220;Replacement Grant Application.&#8221; All eligible FY21 renewal applicants are eligible to submit a Replacement Grant Application. See Section XIII of this Notice for more information on the Replacement Grant Application process. However, to assure HUD will be in a position to renew the expiring grant if the application to replace it does not meet the scoring threshold for funding, each applicant interested in applying to replace their current PSH grant must submit both a Renewal Grant Application and a Replacement Grant Application. No Replacement Grant Applications will be reviewed without an accompanying Renewal Grant Application. PLEASE READ NOTICE COMPLETELY FOR ADDITIONAL GUIDANCE."
68509,HUD,Department of Housing and Urban Development,HO,"The Initiatives are the Fair Housing Organization Initiative (FHOI), the Private Enforcement Initiative (PEI) and the Education and Outreach Initiative (EOI). In addition, consistent with HUD appropriations directives, FHEO is publishing a separate NOFO for Tester Coordinator Training. This Education and Outreach Initiative (EOI) NOFO makes available $7,218,649 million (which includes $343,649 of FHIP FY 2020 Education and Outreach Initiative carryover funds) to develop, implement, carry out, and coordinate education and outreach programs designed to inform members of the public concerning their rights and obligations under the provisions of the Fair Housing Act. Under the EOI NOFO, activities eligible for funding include but are not limited to: developing educational advertising campaigns, developing and distributing material, and conducting educational activities (workshops, conferences, seminars, training etc.) that inform people of their rights and responsibilities under the Fair Housing Act (see Section III.A for detailed eligible activities). The specific EOI NOFO includes funding for three components: $1 million for a National Media Campaign; $300,000 for a National Programs Component - Disability Deinstitutionalization and Integration Educational Campaign; and $5,918,649 million for general education and outreach activities aimed to inform people of their rights and responsibilities under the Fair Housing Act. This NOFO will receive applications for the EOI NOFO only. Please see the specific FHOI, PEI and EOI Tester Coordinator Training NOFOs for the additional FHIP funding opportunities."
68510,HUD,Department of Housing and Urban Development,HO,"A number of America&#8217;s low-income veterans with disabilities are in need of adaptive housing to help them regain or maintain their independence. In partnership with the U.S. Department of Veterans Affairs, the U.S. Department of Housing and Urban Development intends to address these challenges in accordance with section 1079 of the Carl Levin and Howard P. &#8220;Buck&#8221; McKeon National Defense Authorization Act for Fiscal Year 2015 (Public Law 113-291, &#167;1079, enacted December 19, 2014, as amended by Public Law 114-92, &#167;1081(b)(4), November 25, 2015) by awarding competitive grants of up to $1 million each to nonprofit organizations that provide nationwide or statewide programs that primarily serve veterans and/or low-income individuals. The grants may be used to modify or rehabilitate eligible veterans&#8217; primary residences or to provide grantees&#8217; affiliates with technical, administrative, and training support in connection with those services. For FY 2021, HUD will award up to $9,445,988 in grants of up to $1 million each through the competition described in the NOFO."
68525,HUD,Department of Housing and Urban Development,HO,"The Fair Housing Initiatives Program (FHIP) provides funding to fair housing organizations and other non-profits that assist individuals who believe that they have been victims of housing discrimination. Currently FHIP provides funds to eligible organizations through competitive grants under several initiatives to carry out enforcement activities to prevent or eliminate discriminatory housing practices and inform individuals of their rights and responsibilities under the Fair Housing Act. The Initiatives are: the Fair Housing Organizations Initiative (FHOI), Private Enforcement Initiative (PEI) and the Education and Outreach Initiative (EOI). In addition, consistent with HUD appropriations directives, FHEO is publishing a separate NOFO for EOI-Tester Coordinator Training. This FHOI Initiative NOFO makes available $2,250,000 under the Continued Development Component (CDC), (which includes the use of FY 2020 FHOI carryover funds in the amount of $250,000). The CDC component provides funds to non-profit fair housing organizations to build their capacity and effectiveness to conduct enforcement related activities eligible for funding including but not limited to: (1) adding an enforcement staff and enforcement-related activities (e.g., to an existing fair housing education organization); and (2) expanding testing expertise and experience. This NOFO will receive applications for the FHOI NOFO only. Please see the specific PEI and EOI NOFOs for the additional FHIP funding opportunities."
68536,HUD,Department of Housing and Urban Development,HO,"Funding of approximately $10,755,507is available through this NOFO and any carryover funds. Additional funds will be available for award under this NOFO, because of carryover funds. Funds may be available from recapture funds or from additional appropriated funds. Use of these funds is subject to statutory constraints. All awards are subject to the funding restrictions contained in this NOFO. However, subject to statutory constraints at its discretion, HUD may limit the amount and actual awards made under this NOFO. Funding of approximately $10,755,507 is available through this NOFO to fund new FY2021 grantees. The remaining $27,375,000 will be used to fund continuing (second and third year) FY 2019 and FY 2020 PEI Multi-year (PEI-MY) grantees outside of this NOFO. Funding for the second and third year of FY 2020 and FY 2021 PEI-MY grantees is subject to the availability of future appropriated funds by Congress."
68538,HUD,Department of Housing and Urban Development,HO,"The Fair Housing Initiatives Program is a significant source of funding for FHIP grantees that conduct fair housing testing in local communities across the country. Fair housing testing refers to the use of testers who, without any bona fide intent to rent or purchase property, pose as prospective renters or buyers of real estate for the purpose of determining whether housing providers and others are complying with the federal Fair Housing Act. The Department continues to be vigilant about ensuring that testing performed by testers with FHIP funds adhere to HUD&#8217;s investigatory standards so that it yields credible, objective and admissible evidence to aid in the enforcement of the federal Fair Housing Act. The Department acknowledges that great variation exists in the quality of fair housing testing performed by FHIP grantees. Some grantees have consistently demonstrated that testing produces strong evidence that can be used to forge effective legal challenges to discriminatory housing practices. Still some grantees exhibit lesser capabilities and uneven or less accomplished tract record. HUD recognizes the need to continually improve and standardized the quality of testing provided by testers employed by FHIP grantees."
68578,HUD,Department of Housing and Urban Development,HO,HBCU Center of Excellence
68920,HUD,Department of Housing and Urban Development,HO,"Choice Neighborhoods Planning Grants support the development of comprehensive neighborhood revitalization plans which focus on directing resources to address three core goals: Housing, People and Neighborhood. To achieve these core goals, communities must develop and implement a comprehensive neighborhood revitalization strategy, or Transformation Plan. The Transformation Plan will become the guiding document for the revitalization of the public and/or assisted housing units while simultaneously directing the transformation of the surrounding neighborhood and positive outcomes for families."
69212,HUD,Department of Housing and Urban Development,HO,"HUD is funding studies to improve HUD&apos;s and the public&apos;s knowledge of housing-related health and safety hazards and to improve or develop new hazard assessment and control methods, with a focus on lead and other key residential health and safety hazards. HUD is especially interested in applications that will advance our knowledge on priority healthy homes issues by addressing important gaps in the science related to the accurate and efficient identification of hazards and the implementation of cost-effective hazard mitigation. This includes studies using implementation sciences in identifying specific conditions under which proven residential environmental hazard interventions in targeted housing types and residential settings can be sustained to improve intervention efficiency and efficacy."
69273,AC,AmeriCorps,HO,"AmeriCorps grants are awarded to eligible organizations proposing to engage AmeriCorps members in evidence-based or evidence-informed interventions to strengthen communities. An AmeriCorps member is an individual who engages in community service through an approved national service position. Members may receive a living allowance and other benefits while serving. Upon successful completion of their service, members earn a Segal AmeriCorps Education Award from the National Service Trust that members can use to pay for higher education expenses or apply to qualified student loans."
69321,USDA-RHS,Rural Housing Service,HO,"The Rural Housing Service (RHS) announces that it is soliciting applications under its Housing Preservation Grant (HPG) program. The HPG program is a grant program which provides qualified public agencies, private nonprofit organizations, which may include but not be limited to, Faith-Based and Community Organizations, and other eligible entities grant funds to assist very low- and low-income homeowners in repairing and rehabilitating their homes in rural areas. In addition, the HPG program assists rental property owners and cooperative housing complexes in repairing and rehabilitating their units if they agree to make such units available to low- and very low-income persons. This action is taken to comply with Agency regulations found in 7 CFR part 1944, subpart N, which require the Agency to announce the opening and closing dates for receipt of preapplications for HPG funds from eligible applicants. The intended effect of this Notice is to provide eligible organizations notice of these dates."
69388,HUD,Department of Housing and Urban Development,HO,"The purpose of the Lead-Based Paint Hazard Reduction (LHR) grant program is to maximize the number of children under the age of six years protected from lead poisoning by assisting states, cities, counties/parishes, Native American Tribes or other units of local government in undertaking comprehensive programs to identify and control lead-based paint hazards in eligible privately-owned target housing."
69641,HUD,Department of Housing and Urban Development,HO,"To fund Healthy Homes and Weatherization Program Cooperation Demonstration grants in localities that are served by both Healthy Homes and Weatherization Assistance Programs to determine whether coordination between the programs with respect to the implementation of healthy homes remediation activities and energy conservation measures achieves cost effectiveness and better outcomes in improving the safety and quality of homes. The following are the major goals and objectives of this NOFO: Identify effective strategies for coordination between Lead/Healthy Homes (LHH) and Weatherization programs that maximize program efficiencies and benefits to occupants. Reduce Weatherization Assistance Program (WAP) deferrals through coordination with LHH programs. Establish sustainable models of inter-program cooperation, including data sharing, reporting, and targeting/recruiting clients. Identify effective models for the sustainable financing of coordinated healthy homes/weatherization interventions. Identify effective strategies for coordination between Lead/Healthy Homes (LHH) and Weatherization programs that maximize program efficiencies and benefits to occupants."
69752,HUD,Department of Housing and Urban Development,HO,"Through this NOFO, HUD is announcing the availability of at least two awards: up to $2.5 million in FY 2020 funding and up to $6.8 million in FY 2021 funding. We anticipate around three awards from each of these funding sources to provide technical assistance (TA) to units of general local government (UGLGs) and their non-profit partners serving communities experiencing long-term economic hardship. This includes distressed UGLGs and UGLGs experiencing persistent poverty, as defined under this NOFO. No less than $5 million from the FY 2021 funding will be available to assist UGLGs and their nonprofit partners serving communities experiencing persistent poverty."
69822,HUD,Department of Housing and Urban Development,HO,"This SHOP NOFA announces the availability of $10,000,000 in FY2021 SHOP Grant funds to be awarded to national and regional non-profit organizations and consortia to facilitate and encourage innovative homeownership opportunities on a national, geographically diverse basis through the provision of self-help homeownership housing programs. Applicants must propose to use a significant amount of SHOP Grant funds in at least two states. Individuals are not eligible to apply for SHOP Grant funds. SHOP Grant funds must be used for land acquisition, infrastructure improvements, and for reasonable and necessary planning and administration costs (not to exceed 20 percent). The construction or rehabilitation costs of each SHOP unit must be funded with other leveraged public and private funds. The average SHOP Grant expenditure for the combined costs of land acquisition and infrastructure improvements must not exceed $15,000 per SHOP unit. SHOP units must be decent, safe, and sanitary non-luxury dwellings that comply with state and local codes, ordinances, and zoning requirements. The SHOP units must be sold to homebuyers at prices below the prevailing market price. Homebuyers must be low-income and must contribute a significant amount of sweat equity towards the development of the SHOP units. A homebuyer&#8217;s sweat equity contribution must not be mortgaged or otherwise restricted upon future sale of the SHOP unit. Volunteer labor is also required SHOP Grantees may award SHOP Grant funds to local non-profit affiliate organizations to carry out the Grantee&#8217;s SHOP program. These affiliate organizations must be located within the Grantee&#8217;s service area."
70379,HUD,Department of Housing and Urban Development,HO,"The Resident Opportunity &amp; Self Sufficiency Service Coordinator (ROSS-SC) program is designed to assist residents of Public and Indian Housing make progress towards economic and housing self-sufficiency by removing the educational, professional and health barriers they face. Self-sufficiency is defined as an individual&#8217;s ability to support their household by maintaining financial, housing, and personal/family stability. To achieve self-sufficiency, an individual moves along a continuum towards economic independence and stability; such movement is facilitated by the achievement of individual educational, professional, and health-related goals. To help residents make progress towards self-sufficiency, HUD provides ROSS-SC grant funding to eligible applicants to hire a Service Coordinator who assesses the needs of Public and Indian housing residents and links them to local training and supportive services that will enable participants to move along the self-sufficiency continuum. In the case of elderly/residents with disabilities, the Service Coordinator also links them to congregate and other supportive services which enable them to age/remain in place in addition to providing other desired training and supportie services which are made available to other residents.&#8239;Through the ROSS-SC grant, HUD also provides funding for grantees to provide direct services to further support the work of the ROSS-SC and ultimately, the goals of the ROSS program."
